CCAA,Fecha,OCUPADAS_COVID19
ASTURIAS,2021-03-06,347
ASTURIAS,2021-03-07,385
ASTURIAS,2021-03-08,360
ASTURIAS,2021-03-09,337
ASTURIAS,2021-03-10,338
ASTURIAS,2021-03-11,328
ASTURIAS,2021-03-12,300
ASTURIAS,2021-03-13,293
ASTURIAS,2021-03-14,306
ASTURIAS,2021-03-15,309
ASTURIAS,2021-03-16,298
ASTURIAS,2021-03-17,305
ASTURIAS,2021-03-18,298
ASTURIAS,2021-03-19,280
ASTURIAS,2021-03-20,281
ASTURIAS,2021-03-21,307
ASTURIAS,2021-03-22,288
ASTURIAS,2021-03-23,268
ASTURIAS,2021-03-24,266
ASTURIAS,2021-03-25,264
ASTURIAS,2021-03-26,240
ASTURIAS,2021-03-27,241
ASTURIAS,2021-03-28,251
ASTURIAS,2021-03-29,256
ASTURIAS,2021-03-30,234
ASTURIAS,2021-03-31,226
ASTURIAS,2021-04-01,226
ASTURIAS,2021-04-02,234
ASTURIAS,2021-04-03,236
ASTURIAS,2021-04-04,250
ASTURIAS,2021-04-05,256
ASTURIAS,2021-04-06,241
ASTURIAS,2021-04-07,222
ASTURIAS,2021-04-08,214
ASTURIAS,2021-04-09,225
ASTURIAS,2021-04-10,225
ASTURIAS,2021-04-11,240
ASTURIAS,2021-04-12,242
ASTURIAS,2021-04-13,243
ASTURIAS,2021-04-14,240
ASTURIAS,2021-04-15,230
ASTURIAS,2021-04-16,217
ASTURIAS,2021-04-17,220
